target,ligand,seed,affinity_kcal_mol,log_file
t790m,afatinib,1,-8.163,data\processed\docking_results\t790m\afatinib\logs\t790m_afatinib_seed1.log
t790m,afatinib,10,-8.219,data\processed\docking_results\t790m\afatinib\logs\t790m_afatinib_seed10.log
t790m,afatinib,11,-8.217,data\processed\docking_results\t790m\afatinib\logs\t790m_afatinib_seed11.log
t790m,afatinib,12,-8.204,data\processed\docking_results\t790m\afatinib\logs\t790m_afatinib_seed12.log
t790m,afatinib,13,-8.209,data\processed\docking_results\t790m\afatinib\logs\t790m_afatinib_seed13.log
t790m,afatinib,14,-8.191,data\processed\docking_results\t790m\afatinib\logs\t790m_afatinib_seed14.log
t790m,afatinib,15,-8.232,data\processed\docking_results\t790m\afatinib\logs\t790m_afatinib_seed15.log
t790m,afatinib,2,-8.221,data\processed\docking_results\t790m\afatinib\logs\t790m_afatinib_seed2.log
t790m,afatinib,3,-8.161,data\processed\docking_results\t790m\afatinib\logs\t790m_afatinib_seed3.log
t790m,afatinib,4,-8.171,data\processed\docking_results\t790m\afatinib\logs\t790m_afatinib_seed4.log
t790m,afatinib,5,-8.178,data\processed\docking_results\t790m\afatinib\logs\t790m_afatinib_seed5.log
t790m,afatinib,6,-8.216,data\processed\docking_results\t790m\afatinib\logs\t790m_afatinib_seed6.log
t790m,afatinib,7,-8.197,data\processed\docking_results\t790m\afatinib\logs\t790m_afatinib_seed7.log
t790m,afatinib,8,-8.211,data\processed\docking_results\t790m\afatinib\logs\t790m_afatinib_seed8.log
t790m,afatinib,9,-8.226,data\processed\docking_results\t790m\afatinib\logs\t790m_afatinib_seed9.log
t790m,dacomitinib,1,-8.314,data\processed\docking_results\t790m\dacomitinib\logs\t790m_dacomitinib_seed1.log
t790m,dacomitinib,10,-8.753,data\processed\docking_results\t790m\dacomitinib\logs\t790m_dacomitinib_seed10.log
t790m,dacomitinib,11,-8.611,data\processed\docking_results\t790m\dacomitinib\logs\t790m_dacomitinib_seed11.log
t790m,dacomitinib,12,-8.622,data\processed\docking_results\t790m\dacomitinib\logs\t790m_dacomitinib_seed12.log
t790m,dacomitinib,13,-8.724,data\processed\docking_results\t790m\dacomitinib\logs\t790m_dacomitinib_seed13.log
t790m,dacomitinib,14,-8.702,data\processed\docking_results\t790m\dacomitinib\logs\t790m_dacomitinib_seed14.log
t790m,dacomitinib,15,-8.519,data\processed\docking_results\t790m\dacomitinib\logs\t790m_dacomitinib_seed15.log
t790m,dacomitinib,2,-8.642,data\processed\docking_results\t790m\dacomitinib\logs\t790m_dacomitinib_seed2.log
t790m,dacomitinib,3,-8.681,data\processed\docking_results\t790m\dacomitinib\logs\t790m_dacomitinib_seed3.log
t790m,dacomitinib,4,-8.533,data\processed\docking_results\t790m\dacomitinib\logs\t790m_dacomitinib_seed4.log
t790m,dacomitinib,5,-8.543,data\processed\docking_results\t790m\dacomitinib\logs\t790m_dacomitinib_seed5.log
t790m,dacomitinib,6,-8.653,data\processed\docking_results\t790m\dacomitinib\logs\t790m_dacomitinib_seed6.log
t790m,dacomitinib,7,-8.639,data\processed\docking_results\t790m\dacomitinib\logs\t790m_dacomitinib_seed7.log
t790m,dacomitinib,8,-8.545,data\processed\docking_results\t790m\dacomitinib\logs\t790m_dacomitinib_seed8.log
t790m,dacomitinib,9,-8.531,data\processed\docking_results\t790m\dacomitinib\logs\t790m_dacomitinib_seed9.log
t790m,erlotinib,1,-7.343,data\processed\docking_results\t790m\erlotinib\logs\t790m_erlotinib_seed1.log
t790m,erlotinib,10,-7.377,data\processed\docking_results\t790m\erlotinib\logs\t790m_erlotinib_seed10.log
t790m,erlotinib,11,-7.28,data\processed\docking_results\t790m\erlotinib\logs\t790m_erlotinib_seed11.log
t790m,erlotinib,12,-7.306,data\processed\docking_results\t790m\erlotinib\logs\t790m_erlotinib_seed12.log
t790m,erlotinib,13,-7.358,data\processed\docking_results\t790m\erlotinib\logs\t790m_erlotinib_seed13.log
t790m,erlotinib,14,-7.276,data\processed\docking_results\t790m\erlotinib\logs\t790m_erlotinib_seed14.log
t790m,erlotinib,15,-7.327,data\processed\docking_results\t790m\erlotinib\logs\t790m_erlotinib_seed15.log
t790m,erlotinib,2,-7.406,data\processed\docking_results\t790m\erlotinib\logs\t790m_erlotinib_seed2.log
t790m,erlotinib,3,-7.356,data\processed\docking_results\t790m\erlotinib\logs\t790m_erlotinib_seed3.log
t790m,erlotinib,4,-7.359,data\processed\docking_results\t790m\erlotinib\logs\t790m_erlotinib_seed4.log
t790m,erlotinib,5,-7.411,data\processed\docking_results\t790m\erlotinib\logs\t790m_erlotinib_seed5.log
t790m,erlotinib,6,-7.352,data\processed\docking_results\t790m\erlotinib\logs\t790m_erlotinib_seed6.log
t790m,erlotinib,7,-7.365,data\processed\docking_results\t790m\erlotinib\logs\t790m_erlotinib_seed7.log
t790m,erlotinib,8,-7.348,data\processed\docking_results\t790m\erlotinib\logs\t790m_erlotinib_seed8.log
t790m,erlotinib,9,-7.279,data\processed\docking_results\t790m\erlotinib\logs\t790m_erlotinib_seed9.log
t790m,gefitinib,1,-9.09,data\processed\docking_results\t790m\gefitinib\logs\t790m_gefitinib_seed1.log
t790m,gefitinib,10,-9.12,data\processed\docking_results\t790m\gefitinib\logs\t790m_gefitinib_seed10.log
t790m,gefitinib,11,-9.105,data\processed\docking_results\t790m\gefitinib\logs\t790m_gefitinib_seed11.log
t790m,gefitinib,12,-9.109,data\processed\docking_results\t790m\gefitinib\logs\t790m_gefitinib_seed12.log
t790m,gefitinib,13,-9.098,data\processed\docking_results\t790m\gefitinib\logs\t790m_gefitinib_seed13.log
t790m,gefitinib,14,-9.088,data\processed\docking_results\t790m\gefitinib\logs\t790m_gefitinib_seed14.log
